longitude,latitude,region_id,tmp,ndvi,年份,year,month
112.900898,24.747347,82,7.8,0.76479995,201212,2012,12
112.913735,24.747347,83,7.35,0.756,201212,2012,12
112.926572,24.747347,84,6.975,0.7418,201212,2012,12
112.939409,24.747347,85,6.825,0.7532,201212,2012,12
112.952246,24.747347,86,7.325,0.77199996,201212,2012,12
112.965083,24.747347,87,7.975,0.77349997,201212,2012,12
112.97792,24.747347,88,8.45,0.75049996,201212,2012,12
112.84955,24.755817,89,9.8,0.7435,201212,2012,12
112.862387,24.755817,90,9.475,0.7511,201212,2012,12
112.875224,24.755817,91,9.025,0.7583,201212,2012,12
112.888061,24.755817,92,8.424999999999999,0.76159996,201212,2012,12
112.900898,24.755817,93,7.8,0.7818,201212,2012,12
112.913735,24.755817,94,7.25,0.74729997,201212,2012,12
112.926572,24.755817,95,6.699999999999999,0.75369996,201212,2012,12
112.939409,24.755817,96,6.525,0.76449996,201212,2012,12
112.952246,24.755817,97,7.275,0.7823,201212,2012,12
112.965083,24.755817,98,7.75,0.7823,201212,2012,12
112.97792,24.755817,99,8.3,0.7669,201212,2012,12
112.84955,24.764287,100,10.0,0.694,201212,2012,12
112.862387,24.764287,101,9.65,0.7222,201212,2012,12
112.875224,24.764287,102,9.125,0.76,201212,2012,12
112.888061,24.764287,103,8.674999999999999,0.76,201212,2012,12
112.900898,24.764287,104,8.05,0.79319996,201212,2012,12
112.913735,24.764287,105,7.475,0.7736,201212,2012,12
112.926572,24.764287,106,6.800000000000001,0.7111,201212,2012,12
112.939409,24.764287,107,6.35,0.701,201212,2012,12
112.952246,24.764287,108,6.8,0.7866,201212,2012,12
112.965083,24.764287,109,7.25,0.8153,201212,2012,12
112.97792,24.764287,110,7.975,0.79829997,201212,2012,12
112.836713,24.772757,111,10.225,0.6389,201212,2012,12
112.84955,24.772757,112,9.875,0.74259996,201212,2012,12
112.862387,24.772757,113,9.35,0.7565,201212,2012,12
112.875224,24.772757,114,8.775,0.7833,201212,2012,12
112.888061,24.772757,115,8.675,0.7815,201212,2012,12
112.900898,24.772757,116,8.325,0.78319997,201212,2012,12
112.913735,24.772757,117,7.725,0.7723,201212,2012,12
112.926572,24.772757,118,7.2,0.71559995,201212,2012,12
112.939409,24.772757,119,6.6000000000000005,0.7926,201212,2012,12
112.952246,24.772757,120,6.575,0.7881,201212,2012,12
112.965083,24.772757,121,7.375,0.8057,201212,2012,12
112.97792,24.772757,122,7.85,0.77779996,201212,2012,12
112.836713,24.781227,123,10.225,0.5589,201212,2012,12
112.84955,24.781227,124,9.7,0.7089,201212,2012,12
112.862387,24.781227,125,9.0,0.7536,201212,2012,12
112.875224,24.781227,126,8.2,0.7966,201212,2012,12
112.888061,24.781227,127,8.1,0.81,201212,2012,12
112.900898,24.781227,128,7.975,0.7862,201212,2012,12
112.913735,24.781227,129,7.5,0.7862,201212,2012,12
112.926572,24.781227,130,7.1,0.8059,201212,2012,12
112.939409,24.781227,131,6.6,0.78209996,201212,2012,12
112.952246,24.781227,132,6.325000000000001,0.76489997,201212,2012,12
112.965083,24.781227,133,7.050000000000001,0.7908,201212,2012,12
112.97792,24.781227,134,7.875,0.77269995,201212,2012,12
112.84955,24.789697,135,9.475,0.6702,201212,2012,12
112.862387,24.789697,136,8.85,0.69189996,201212,2012,12
112.875224,24.789697,137,8.275,0.7575,201212,2012,12
112.888061,24.789697,138,7.975,0.7879,201212,2012,12
112.900898,24.789697,139,7.775,0.7769,201212,2012,12
112.913735,24.789697,140,7.175,0.7845,201212,2012,12
112.926572,24.789697,141,6.625,0.7324,201212,2012,12
112.939409,24.789697,142,6.275,0.7154,201212,2012,12
112.952246,24.789697,143,6.2250000000000005,0.7509,201212,2012,12
112.965083,24.789697,144,6.85,0.8102,201212,2012,12
112.97792,24.789697,145,7.675000000000001,0.79109997,201212,2012,12
112.84955,24.798167,146,9.325,0.6943,201212,2012,12
112.862387,24.798167,147,8.95,0.66499996,201212,2012,12
112.875224,24.798167,148,8.85,0.73499995,201212,2012,12
112.888061,24.798167,149,8.35,0.7345,201212,2012,12
112.900898,24.798167,150,7.8,0.76199996,201212,2012,12
112.913735,24.798167,151,7.275,0.7892,201212,2012,12
112.926572,24.798167,152,6.725,0.7341,201212,2012,12
112.939409,24.798167,153,6.275,0.76309997,201212,2012,12
112.952246,24.798167,154,6.025,0.7877,201212,2012,12
112.965083,24.798167,155,6.449999999999999,0.8099,201212,2012,12
112.97792,24.798167,156,7.0,0.806,201212,2012,12
112.875224,24.806637,157,9.375,0.7274,201212,2012,12
112.888061,24.806637,158,8.925,0.7438,201212,2012,12
112.900898,24.806637,159,8.225,0.79639995,201212,2012,12
112.913735,24.806637,160,7.475,0.803,201212,2012,12
112.926572,24.806637,161,6.949999999999999,0.8121,201212,2012,12
112.939409,24.806637,162,6.525,0.8103,201212,2012,12
112.952246,24.806637,163,6.125000000000001,0.79639995,201212,2012,12
112.965083,24.806637,164,6.35,0.79639995,201212,2012,12
112.97792,24.806637,165,6.9750000000000005,0.8045,201212,2012,12
112.875224,24.815107,166,9.475,0.7622,201212,2012,12
112.888061,24.815107,167,9.0,0.7622,201212,2012,12
112.900898,24.815107,168,8.225,0.7917,201212,2012,12
112.913735,24.815107,169,7.425,0.78349996,201212,2012,12
112.926572,24.815107,170,6.8,0.81949997,201212,2012,12
112.939409,24.815107,171,6.325,0.8077,201212,2012,12
112.952246,24.815107,172,6.125,0.8013,201212,2012,12
112.965083,24.815107,173,6.7250000000000005,0.8045,201212,2012,12
112.875224,24.823577,174,9.25,0.76299995,201212,2012,12
112.888061,24.823577,175,9.0,0.7816,201212,2012,12
112.900898,24.823577,176,8.049999999999999,0.7898,201212,2012,12
112.913735,24.823577,177,7.375,0.8009,201212,2012,12
112.926572,24.823577,178,6.6000000000000005,0.82049996,201212,2012,12
112.939409,24.823577,179,6.2,0.7898,201212,2012,12
112.952246,24.823577,180,6.125,0.7673,201212,2012,12
112.965083,24.823577,181,6.725,0.7909,201212,2012,12
112.888061,24.832047,182,9.025,0.7626,201212,2012,12
112.900898,24.832047,183,7.925,0.76,201212,2012,12
112.913735,24.832047,184,7.574999999999999,0.7869,201212,2012,12
112.888061,24.840517,185,9.125,0.7594,201212,2012,12
112.888061,24.848987,186,9.125,0.7258,201212,2012,12
112.952246,24.688057,1,5.675,0.75229996,201301,2013,1
112.965083,24.688057,2,6.1,0.7302,201301,2013,1
112.97792,24.688057,3,6.525,0.67829996,201301,2013,1
112.862387,24.696527,4,6.699999999999999,0.72819996,201301,2013,1
112.888061,24.696527,5,4.375,0.3724,201301,2013,1
112.939409,24.696527,6,4.975,0.75909996,201301,2013,1
112.952246,24.696527,7,5.425,0.77419996,201301,2013,1
112.965083,24.696527,8,6.075,0.73039997,201301,2013,1
112.97792,24.696527,9,6.525,0.7166,201301,2013,1
112.990757,24.696527,10,6.575,0.7524,201301,2013,1
113.003594,24.696527,11,6.550000000000001,0.65529996,201301,2013,1
113.016431,24.696527,12,6.525,0.60139996,201301,2013,1
112.84955,24.704997,13,6.975,0.6473,201301,2013,1
112.862387,24.704997,14,6.775,0.6473,201301,2013,1
112.875224,24.704997,15,5.625,0.74579996,201301,2013,1
112.888061,24.704997,16,4.725,0.7665,201301,2013,1
112.900898,24.704997,17,3.3000000000000003,0.8039,201301,2013,1
112.913735,24.704997,18,3.825,0.8109,201301,2013,1
112.926572,24.704997,19,4.5,0.79139996,201301,2013,1
112.939409,24.704997,20,4.85,0.7941,201301,2013,1
112.952246,24.704997,21,5.35,0.7949,201301,2013,1
112.965083,24.704997,22,5.875,0.7747,201301,2013,1
112.97792,24.704997,23,6.324999999999999,0.733,201301,2013,1
112.990757,24.704997,24,6.449999999999999,0.6929,201301,2013,1
113.003594,24.704997,25,6.55,0.68729997,201301,2013,1
113.016431,24.704997,26,6.525,0.6405,201301,2013,1
112.84955,24.713467,27,6.675,0.8404,201301,2013,1
112.862387,24.713467,28,6.05,0.7129,201301,2013,1
112.875224,24.713467,29,4.525,0.7351,201301,2013,1
112.888061,24.713467,30,3.975,0.7841,201301,2013,1
112.900898,24.713467,31,3.35,0.8128,201301,2013,1
112.913735,24.713467,32,3.875,0.7564,201301,2013,1
112.926572,24.713467,33,4.4,0.79639995,201301,2013,1
112.939409,24.713467,34,4.775,0.79319996,201301,2013,1
112.952246,24.713467,35,5.275,0.81509995,201301,2013,1
112.965083,24.713467,36,5.85,0.6062,201301,2013,1
112.97792,24.713467,37,6.15,0.6842,201301,2013,1
112.990757,24.713467,38,6.25,0.5883,201301,2013,1
113.003594,24.713467,39,6.375,0.65389997,201301,2013,1
112.84955,24.721937,40,6.15,0.73649997,201301,2013,1
112.862387,24.721937,41,5.525,0.7481,201301,2013,1
112.875224,24.721937,42,4.175000000000001,0.68189996,201301,2013,1
112.888061,24.721937,43,3.5500000000000003,0.68189996,201301,2013,1
112.900898,24.721937,44,3.4750000000000005,0.7629,201301,2013,1
112.913735,24.721937,45,3.95,0.7474,201301,2013,1
112.926572,24.721937,46,4.2,0.7484,201301,2013,1
112.939409,24.721937,47,4.45,0.7938,201301,2013,1
112.952246,24.721937,48,5.1,0.8088,201301,2013,1
112.965083,24.721937,49,5.550000000000001,0.7639,201301,2013,1
112.97792,24.721937,50,6.0,0.7287,201301,2013,1
112.990757,24.721937,51,6.074999999999999,0.7287,201301,2013,1
113.003594,24.721937,52,6.25,0.6616,201301,2013,1
112.862387,24.730407,53,5.55,0.7769,201301,2013,1
112.875224,24.730407,54,4.375,0.7891,201301,2013,1
112.888061,24.730407,55,4.025,0.8332,201301,2013,1
112.900898,24.730407,56,3.875,0.7752,201301,2013,1
112.913735,24.730407,57,4.325,0.7752,201301,2013,1
112.926572,24.730407,58,4.075,0.728,201301,2013,1
112.939409,24.730407,59,4.525,0.7363,201301,2013,1
112.952246,24.730407,60,5.025,0.73469996,201301,2013,1
112.965083,24.730407,61,5.575,0.7741,201301,2013,1
112.97792,24.730407,62,5.85,0.7324,201301,2013,1
112.990757,24.730407,63,6.074999999999999,0.6899,201301,2013,1
113.003594,24.730407,64,6.275,0.6319,201301,2013,1
112.84955,24.738877,65,6.449999999999999,0.7001,201301,2013,1
112.862387,24.738877,66,5.9,0.7881,201301,2013,1
112.875224,24.738877,67,5.075,0.80649996,201301,2013,1
112.888061,24.738877,68,4.875,0.80509996,201301,2013,1
112.900898,24.738877,69,4.975,0.69449997,201301,2013,1
112.913735,24.738877,70,4.8,0.68259996,201301,2013,1
112.926572,24.738877,71,4.3,0.71209997,201301,2013,1
112.939409,24.738877,72,4.35,0.7187,201301,2013,1
112.952246,24.738877,73,4.95,0.7776,201301,2013,1
112.965083,24.738877,74,5.55,0.78859997,201301,2013,1
112.97792,24.738877,75,5.9750000000000005,0.6678,201301,2013,1
112.990757,24.738877,76,6.175,0.69479996,201301,2013,1
113.003594,24.738877,77,6.275,0.5291,201301,2013,1
112.84955,24.747347,78,6.875,0.7492,201301,2013,1
112.862387,24.747347,79,6.4,0.797,201301,2013,1
112.875224,24.747347,80,6.025,0.7962,201301,2013,1
112.888061,24.747347,81,5.625,0.7984,201301,2013,1
112.900898,24.747347,82,5.375,0.7568,201301,2013,1
112.913735,24.747347,83,4.875,0.69089997,201301,2013,1
112.926572,24.747347,84,4.449999999999999,0.7075,201301,2013,1
112.939409,24.747347,85,4.275,0.691,201301,2013,1
112.952246,24.747347,86,4.825,0.77129996,201301,2013,1
112.965083,24.747347,87,5.5,0.7705,201301,2013,1
112.97792,24.747347,88,6.05,0.7342,201301,2013,1
112.84955,24.755817,89,7.475,0.77199996,201301,2013,1
112.862387,24.755817,90,7.1,0.73109996,201301,2013,1
112.875224,24.755817,91,6.675,0.7439,201301,2013,1
112.888061,24.755817,92,6.025,0.76,201301,2013,1
112.900898,24.755817,93,5.375,0.6892,201301,2013,1
112.913735,24.755817,94,4.775,0.7127,201301,2013,1
112.926572,24.755817,95,4.225,0.6709,201301,2013,1
112.939409,24.755817,96,4.025,0.71,201301,2013,1
112.952246,24.755817,97,4.775,0.77669996,201301,2013,1
112.965083,24.755817,98,5.275,0.77669996,201301,2013,1
112.97792,24.755817,99,5.9,0.7488,201301,2013,1
112.84955,24.764287,100,7.775,0.6504,201301,2013,1
112.862387,24.764287,101,7.35,0.706,201301,2013,1
112.875224,24.764287,102,6.824999999999999,0.7399,201301,2013,1
112.888061,24.764287,103,6.324999999999999,0.7399,201301,2013,1
112.900898,24.764287,104,5.7,0.8109,201301,2013,1
112.913735,24.764287,105,5.1000000000000005,0.81509995,201301,2013,1
112.926572,24.764287,106,4.375,0.7,201301,2013,1
112.939409,24.764287,107,3.9,0.68,201301,2013,1
112.952246,24.764287,108,4.35,0.7804,201301,2013,1
112.965083,24.764287,109,4.824999999999999,0.815,201301,2013,1
112.97792,24.764287,110,5.6000000000000005,0.7726,201301,2013,1
112.836713,24.772757,111,8.0,0.6221,201301,2013,1
112.84955,24.772757,112,7.675000000000001,0.6953,201301,2013,1
112.862387,24.772757,113,7.1,0.68869996,201301,2013,1
112.875224,24.772757,114,6.525,0.7471,201301,2013,1
112.888061,24.772757,115,6.375,0.7381,201301,2013,1
112.900898,24.772757,116,5.950000000000001,0.76409996,201301,2013,1
112.913735,24.772757,117,5.3500000000000005,0.78249997,201301,2013,1
112.926572,24.772757,118,4.775,0.8673,201301,2013,1
112.939409,24.772757,119,4.15,0.8268,201301,2013,1
112.952246,24.772757,120,4.15,0.78099996,201301,2013,1
112.965083,24.772757,121,4.975,0.79109997,201301,2013,1
112.97792,24.772757,122,5.475,0.68799996,201301,2013,1
112.836713,24.781227,123,7.975,0.5166,201301,2013,1
112.84955,24.781227,124,7.5,0.6882,201301,2013,1
112.862387,24.781227,125,6.750000000000001,0.6778,201301,2013,1
112.875224,24.781227,126,5.9,0.77059996,201301,2013,1
112.888061,24.781227,127,5.75,0.7784,201301,2013,1
112.900898,24.781227,128,5.65,0.84489995,201301,2013,1
112.913735,24.781227,129,5.15,0.84489995,201301,2013,1
112.926572,24.781227,130,4.7,0.84669995,201301,2013,1
112.939409,24.781227,131,4.175,0.77089995,201301,2013,1
112.952246,24.781227,132,3.85,0.73469996,201301,2013,1
112.965083,24.781227,133,4.625,0.7887,201301,2013,1
112.97792,24.781227,134,5.45,0.75549996,201301,2013,1
112.84955,24.789697,135,7.225,0.63159996,201301,2013,1
112.862387,24.789697,136,6.574999999999999,0.6314,201301,2013,1
112.875224,24.789697,137,5.95,0.75619996,201301,2013,1
112.888061,24.789697,138,5.6,0.778,201301,2013,1
112.900898,24.789697,139,5.4,0.81549996,201301,2013,1
112.913735,24.789697,140,4.775,0.812,201301,2013,1
112.926572,24.789697,141,4.2,0.6658,201301,2013,1
112.939409,24.789697,142,3.8,0.6631,201301,2013,1
112.952246,24.789697,143,3.725,0.7418,201301,2013,1
112.965083,24.789697,144,4.4,0.8111,201301,2013,1
112.97792,24.789697,145,5.275,0.7716,201301,2013,1
112.84955,24.798167,146,7.050000000000001,0.6818,201301,2013,1
112.862387,24.798167,147,6.65,0.6189,201301,2013,1
112.875224,24.798167,148,6.574999999999999,0.7331,201301,2013,1
112.888061,24.798167,149,6.025,0.72459996,201301,2013,1
112.900898,24.798167,150,5.45,0.81399995,201301,2013,1
112.913735,24.798167,151,4.875,0.8279,201301,2013,1
112.926572,24.798167,152,4.300000000000001,0.7215,201301,2013,1
112.939409,24.798167,153,3.775,0.7148,201301,2013,1
112.952246,24.798167,154,3.525,0.7145,201301,2013,1
112.965083,24.798167,155,4.025,0.80619997,201301,2013,1
112.97792,24.798167,156,4.550000000000001,0.792,201301,2013,1
112.875224,24.806637,157,7.125,0.6867,201301,2013,1
112.888061,24.806637,158,6.625,0.7022,201301,2013,1
112.900898,24.806637,159,5.9,0.7687,201301,2013,1
112.913735,24.806637,160,5.1,0.782,201301,2013,1
112.926572,24.806637,161,4.55,0.824,201301,2013,1
112.939409,24.806637,162,4.05,0.80259997,201301,2013,1
112.952246,24.806637,163,3.675,0.7913,201301,2013,1
112.965083,24.806637,164,3.875,0.7913,201301,2013,1
112.97792,24.806637,165,4.525,0.80079997,201301,2013,1
112.875224,24.815107,166,7.225,0.7285,201301,2013,1
112.888061,24.815107,167,6.7250000000000005,0.7285,201301,2013,1
112.900898,24.815107,168,5.9,0.7721,201301,2013,1
112.913735,24.815107,169,5.050000000000001,0.78,201301,2013,1
112.926572,24.815107,170,4.4,0.81579995,201301,2013,1
112.939409,24.815107,171,3.875,0.7606,201301,2013,1
112.952246,24.815107,172,3.675,0.79389995,201301,2013,1
112.965083,24.815107,173,4.3,0.80079997,201301,2013,1
112.875224,24.823577,174,6.975,0.7439,201301,2013,1
112.888061,24.823577,175,6.699999999999999,0.7705,201301,2013,1
112.900898,24.823577,176,5.725,0.7851,201301,2013,1
112.913735,24.823577,177,5.0,0.8136,201301,2013,1
112.926572,24.823577,178,4.199999999999999,0.842,201301,2013,1
112.939409,24.823577,179,3.75,0.83269995,201301,2013,1
112.952246,24.823577,180,3.675,0.7653,201301,2013,1
112.965083,24.823577,181,4.275,0.80009997,201301,2013,1
112.888061,24.832047,182,6.725,0.7403,201301,2013,1
112.900898,24.832047,183,5.575000000000001,0.7524,201301,2013,1
112.913735,24.832047,184,5.199999999999999,0.76449996,201301,2013,1
112.888061,24.840517,185,6.824999999999999,0.7441,201301,2013,1
112.888061,24.848987,186,6.824999999999999,0.71489996,201301,2013,1
112.952246,24.688057,1,9.725,0.7374,201302,2013,2
112.965083,24.688057,2,10.175,0.709,201302,2013,2
112.97792,24.688057,3,10.65,0.6832,201302,2013,2
112.862387,24.696527,4,10.775,0.7078,201302,2013,2
112.888061,24.696527,5,8.35,0.73759997,201302,2013,2
112.939409,24.696527,6,9.0,0.6903,201302,2013,2
112.952246,24.696527,7,9.45,0.75049996,201302,2013,2
112.965083,24.696527,8,10.175,0.71849996,201302,2013,2
112.97792,24.696527,9,10.65,0.7104,201302,2013,2
112.990757,24.696527,10,10.7,0.7179,201302,2013,2
113.003594,24.696527,11,10.65,0.63479996,201302,2013,2
113.016431,24.696527,12,10.675,0.6051,201302,2013,2
112.84955,24.704997,13,11.025,0.7683,201302,2013,2
112.862387,24.704997,14,10.85,0.7683,201302,2013,2
112.875224,24.704997,15,9.65,0.754,201302,2013,2
112.888061,24.704997,16,8.7,0.724,201302,2013,2
112.900898,24.704997,17,7.300000000000001,0.9212,201302,2013,2
112.913735,24.704997,18,7.800000000000001,0.80539995,201302,2013,2
112.926572,24.704997,19,8.5,0.7944,201302,2013,2
112.939409,24.704997,20,8.85,0.8107,201302,2013,2
112.952246,24.704997,21,9.4,0.7459,201302,2013,2
112.965083,24.704997,22,9.975,0.7438,201302,2013,2
112.97792,24.704997,23,10.45,0.6914,201302,2013,2
112.990757,24.704997,24,10.575,0.6375,201302,2013,2
113.003594,24.704997,25,10.65,0.6691,201302,2013,2
113.016431,24.704997,26,10.675,0.6387,201302,2013,2
112.84955,24.713467,27,10.7,0.8404,201302,2013,2
112.862387,24.713467,28,10.1,0.8523,201302,2013,2
112.875224,24.713467,29,8.525,0.5823,201302,2013,2
112.888061,24.713467,30,7.95,0.85209996,201302,2013,2
112.900898,24.713467,31,7.3,0.88689995,201302,2013,2
112.913735,24.713467,32,7.85,0.7658,201302,2013,2
112.926572,24.713467,33,8.4,0.8228,201302,2013,2
112.939409,24.713467,34,8.8,0.81369996,201302,2013,2
112.952246,24.713467,35,9.35,0.7356,201302,2013,2
112.965083,24.713467,36,9.95,0.6231,201302,2013,2
112.97792,24.713467,37,10.275,0.6863,201302,2013,2
112.990757,24.713467,38,10.375,0.6088,201302,2013,2
113.003594,24.713467,39,10.5,0.61399996,201302,2013,2
112.84955,24.721937,40,10.175,0.7154,201302,2013,2
112.862387,24.721937,41,9.55,0.7644,201302,2013,2
112.875224,24.721937,42,8.175,0.68189996,201302,2013,2
112.888061,24.721937,43,7.525,0.68189996,201302,2013,2
112.900898,24.721937,44,7.425,0.75119996,201302,2013,2
112.913735,24.721937,45,7.949999999999999,0.7624,201302,2013,2
112.926572,24.721937,46,8.2,0.759,201302,2013,2
112.939409,24.721937,47,8.475000000000001,0.81949997,201302,2013,2
112.952246,24.721937,48,9.175,0.7895,201302,2013,2
112.965083,24.721937,49,9.65,0.736,201302,2013,2
112.97792,24.721937,50,10.15,0.7022,201302,2013,2
112.990757,24.721937,51,10.175,0.7022,201302,2013,2
113.003594,24.721937,52,10.4,0.63699996,201302,2013,2
112.862387,24.730407,53,9.625,0.7694,201302,2013,2
112.875224,24.730407,54,8.4,0.6655,201302,2013,2
112.888061,24.730407,55,8.05,0.75329995,201302,2013,2
112.900898,24.730407,56,7.9,0.7683,201302,2013,2
112.913735,24.730407,57,8.375,0.7683,201302,2013,2
112.926572,24.730407,58,8.1,0.68549997,201302,2013,2
112.939409,24.730407,59,8.55,0.69949996,201302,2013,2
112.952246,24.730407,60,9.075,0.6949,201302,2013,2
112.965083,24.730407,61,9.7,0.7535,201302,2013,2
112.97792,24.730407,62,10.0,0.71849996,201302,2013,2
112.990757,24.730407,63,10.2,0.66609997,201302,2013,2
113.003594,24.730407,64,10.425,0.6422,201302,2013,2
